date,open,high,low,close,volume
2021-08-10,10021.968,10172.321,9945.673,10171.69,11175866500
2021-08-11,10155.486,10207.301,10108.527,10122.036,12717058900
2021-08-12,10086.427,10123.253,10026.865,10052.339,11437864900
2021-08-13,10013.084,10103.064,9975.337,10024.362,10896209100
2021-08-16,10011.147,10094.796,10001.714,10023.517,11954756000
2021-08-17,10012.265,10085.964,9798.402,9829.251,13725073700
2021-08-18,9818.58,9999.104,9791.737,9973.29,14675671600
2021-08-19,9943.38,9948.055,9823.382,9863.881,14764755800
2021-08-20,9766.411,9798.449,9582.713,9675.789,12455976800
2021-08-23,9700.793,9798.912,9674.88,9786.522,11740422800
2021-08-24,9803.771,9952.004,9800.398,9919.193,14559799000
2021-08-25,9933.296,9972.689,9889.019,9964.049,14451817900
2021-08-26,9947.643,9947.643,9776.431,9781.248,14809651400
2021-08-27,9765.65,9914.64,9761.962,9868.984,13588371000
2021-08-30,9913.185,9915.444,9809.175,9859.143,15710503900
2021-08-31,9828.019,9887.871,9733.58,9885.766,17200970600
2021-09-01,9879.389,10111.475,9825.489,10039.932,25376733000
2021-09-02,10029.825,10108.957,10021.718,10102.763,19662459500
2021-09-03,10131.201,10162.297,10027.798,10057.529,20293741900
2021-09-06,10057.096,10206.996,10053.868,10175.952,17054006400
2021-09-07,10171.128,10349.337,10131.935,10324.857,17763475400
2021-09-08,10306.381,10348.785,10224.812,10254.832,17986583000
2021-09-09,10205.65,10264.265,10187.889,10263.823,18944322300
2021-09-10,10259.599,10434.142,10253.824,10361.134,21481335600
2021-09-13,10339.637,10396.046,10278.997,10340.387,18043668100
2021-09-14,10332.565,10340.732,10128.118,10148.86,18037138300
2021-09-15,10126.889,10143.904,9998.953,10052.432,13539734700
2021-09-16,10062.794,10094.332,9939.508,9943.661,15559251800
2021-09-17,9917.149,10020.461,9897.965,10020.13,14514238100
2021-09-22,9842.063,9992.848,9831.51,9978.998,13318086800
2021-09-23,10027.364,10103.278,9992.282,10024.201,15966671000
2021-09-24,10010.213,10097.362,9982.4,9997.287,13861204400
2021-09-27,10033.072,10118.35,9962.03,10026.032,14528275500
2021-09-28,10009.932,10084.091,9968.631,10054.566,11808368700
2021-09-29,9973.024,10027.647,9884.607,9958.419,12935617900
2021-09-30,9978.308,10019.371,9966.045,10001.85,9795776200
2021-10-08,10108.909,10144.853,10058.421,10119.489,11161776500
2021-10-11,10141.131,10239.459,10139.805,10150.59,11483190800
2021-10-12,10115.919,10120.166,9968.912,10058.077,11274329100
2021-10-13,10048.669,10183.982,10015.358,10152.425,8662955100
2021-10-14,10136.451,10175.115,10084.0,10106.325,7852321700
2021-10-15,10069.691,10168.105,10047.83,10148.187,9381650900
2021-10-18,10141.201,10141.201,9979.798,10033.845,9468341100
2021-10-19,10022.438,10134.096,10018.909,10116.522,9066931100
2021-10-20,10121.065,10154.658,10077.758,10109.675,9276719500
2021-10-21,10118.402,10210.191,10099.544,10166.102,10220552700
2021-10-22,10176.688,10280.289,10160.378,10213.75,9709262600
2021-10-25,10163.351,10267.394,10146.651,10259.722,9639392500
